market,event_type,timestamp,signature,slot,sequence_number,event_index,maker,taker,price,side,quantity
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434679,3aiRUSJ6ApY6V8dZfNcjvGiF6EpagGS34J8WTg7uDg5uJEp2yRoBYGxckeXCFMJusGwhE81LNGvH3rfZAjjRx5Eh,183114900,1138409,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434666,3Ey37KMFQQ6UbBYgFghf3MEmsYfCjFqhfEgTVGvkcAoWo7bHXWWDKAciVdYvXrJPLCD12hZjKM1hBsL2TFoBnY8o,183114868,1138397,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.25,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434656,4kSeW6numKFJBSPUcQaYZpDAKvDAzyHWEbb41tUjdG35u8Z9kf7ZtzQby5AXPL3No7yE6F9RKQAsxmKET5yHNJV8,183114843,1138380,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.25,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434645,38wqJHV26eR13av5uQXQnaCkpPzXHDsNafBgTJDUTXbRr4Yme899pZhCjfaVodHf8D3DBeSKkZ2zRLhvNTGd1gNn,183114816,1138379,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.24,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434638,3u7kfDETBtLPH2HuRfo3YxgFyLSY73vJ581EK2qomVSCy3aEof7XCgdLVVsxg9sG3LTWwrLrukxW4veMNCwuejh9,183114798,1138378,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.24,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434627,3ngcd8TMnk7GcKEqgcTpg2Ja1Mu8A24D31znqemZz3HNUXxKpQsFnuTQKWhuCVnih47TFtBsRxCf6sH5yg72Zz33,183114771,1138355,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434621,4e46KBZBCKneweV2AZUDpGXDCrgBQgNp2jzkW8g9B1GaDA7Q1sP2nHnvzBXYX6MiCGDjcsnLEiq9f2FjkZDZaa6X,183114755,1138354,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434616,2XWr9jFtmykwAnTFGXV4aSvEVkRAwQ9sYmRK4CkNwtkwX899FSHvRhyK2V3fiwR4xeiGs8FYVmMrpWbqEFZQ21wp,183114740,1138337,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.235,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434600,2yfd3ZeCXocGA1MtphdBSDuFFaFQiJ2hCHYXP5iWXkt742zuGsSPS6xtevRVhUv7aGGqALWRgHTwrNPXGt2VicK3,183114703,1138336,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.235,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434594,kEvN143ByPr3d8uwDbzKqL6dSfPAynxyW8Tmk3fpaXLwaedyFrCRGTjQvf58hZ7aAAMMYX4yAbRJWuT4BQfQZ6M,183114687,1138319,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.175,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434582,3fCLJ1eqUCsBA39kUuZLWojLAkwcSSrh6k81DCjhiK11zkCgKdHXombsqL24gea5mwWF33rwAotxAsw8havcv1rH,183114657,1138313,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.24,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434576,5BN9y6hiznPkWg8UD3cmky24bqeCxni4jnKxBceuPq1s5MFC84WkjvazSTb6Svxg9UujA2UyWm4ctfAnbrwoQ5qe,183114644,1138296,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.235,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434565,3pgDfeQSQ3s59pi4ZqB653GDEmvsgGKx3zCLtZqfi3nMimuDhrKNdy2yQNcZNLkYQ4gBSFnBekY6UiDLzSGSPMo,183114618,1138279,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.24,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434559,mTwo5QLSFq9hG9RsD7hKeHmrQJvyYKzFoqBHBnfjFua7e3KzKMokAjyn25ZsoyMpv9PCKp39i5vbkvoSJPMYFBr,183114601,1138278,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.23,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434548,4sdhYuqPc3ywjJKgomxmC98s4Gzz192wQ8voKAW5TNZLRzHLQxE2bLoPTRtDsZdwdzAA8V4qGWCfFiYfjKq667oh,183114571,1138261,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.23,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434542,5oVXiAfrZchoBReGwFVWs3ZjCHaGVnav6u8gCEoAyB4ULQNh1VwaBw4KdwMDsk4v9pF9pEnSC6QBJpcyDDJSzn8E,183114556,1138260,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.24,Ask,1.0
